Date,Return,Return
2018-06-01,0.04480078078193237,1.2692176585783703
2018-06-02,0.04480078078193237,1.3140184393603027
2018-06-03,0.04480078078193237,1.358819220142235
2018-06-04,0.04480078078193237,1.4036200009241675
2018-06-05,0.047979445505608495,1.451599446429776
2018-06-06,0.047979445505608495,1.4995788919353843
2018-06-07,0.047979445505608495,1.5475583374409927
2018-06-08,0.047979445505608495,1.595537782946601
2018-06-09,0.054808782487989906,1.650346565434591
2018-06-10,0.054808782487989906,1.705155347922581
2018-06-11,0.054808782487989906,1.7599641304105709
2018-06-12,0.060248708650367244,1.8202128390609382
2018-06-13,0.060248708650367244,1.8804615477113056
2018-06-14,0.07422362829935988,1.9546851760106654
2018-06-15,0.06691471951833858,2.021599895529004
2018-06-16,0.07437919312272945,2.0959790886517333
